fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
0,88.0,11.0,0.0,0.0,0.0
1,88.5425,12.0,94.3,0.0,9.961053848266602
2,88.4775,10.0,92.375,0.0,9.977396965026855
3,90.9575,12.0,93.55,0.0,9.988285064697266
4,90.3225,11.0,92.8,0.0,9.993785858154297
5,90.4875,11.0,94.025,0.0,10.005171775817871
6,89.5425,6.0,96.825,2.364931583404541,10.014551162719727
7,91.5,6.0,94.2,0.0,10.026192665100098
8,91.845,6.0,94.475,0.0,10.026355743408203
9,90.675,15.0,92.375,2.5026028156280518,10.03453540802002
10,91.0975,7.0,92.225,0.0,10.042779922485352
11,89.805,17.0,85.15,2.7438409328460693,10.046101570129395
12,89.6625,22.0,86.75,2.4215357303619385,10.05239486694336
13,90.26,13.0,86.825,0.0,10.06253719329834
14,86.8175,9.0,98.075,2.3801965713500977,10.068160057067871
15,92.115,14.0,97.725,2.3998122215270996,10.080089569091797
16,92.5075,11.0,94.825,0.0,10.076769828796387
17,92.41,10.0,95.075,0.0,10.084179878234863
18,91.0925,6.0,94.775,2.872673511505127,10.095463752746582
19,90.66,17.0,96.725,0.0,10.101856231689453
20,92.63,16.0,97.875,2.973106861114502,10.107454299926758
21,92.8475,17.0,97.075,2.438386917114258,10.117257118225098
22,93.0275,14.0,96.6,2.324369430541992,10.124594688415527
23,93.1625,17.0,95.625,2.4354617595672607,10.12708854675293
24,93.26,14.0,97.3,0.0,10.135854721069336
25,92.6175,9.0,92.975,2.250149726867676,10.142796516418457
26,93.56,6.0,94.25,0.0,10.150032997131348
27,93.18,8.0,95.15,0.0,10.163616180419922
28,93.505,7.0,95.325,2.7968854904174805,10.17121696472168
29,93.3525,8.0,93.375,0.0,10.178024291992188
30,92.825,7.0,92.55,0.0,10.184081077575684
31,93.1475,14.0,97.475,2.8402516841888428,10.190284729003906
32,94.2575,11.0,97.225,0.0,10.191524505615234
33,94.515,10.0,96.95,0.0,10.195487022399902
34,94.3,10.0,95.6,0.0,10.198005676269531
35,94.5475,14.0,96.075,0.0,10.206809997558594
36,93.985,9.0,95.725,0.0,10.209417343139648
37,93.63,7.0,95.325,0.0,10.218852996826172
38,94.06,7.0,91.675,0.0,10.221854209899902
39,93.915,6.0,93.45,0.0,10.22671127319336
40,94.065,20.0,94.5,0.0,10.236363410949707
41,94.7,15.0,94.85,0.0,10.246085166931152
42,93.1925,11.0,95.15,0.0,10.249140739440918
43,94.64,17.0,93.775,0.0,10.251612663269043
44,94.2075,9.0,93.5,0.0,10.258042335510254
45,94.5275,17.0,95.65,0.0,10.260732650756836
46,94.32,17.0,94.375,0.0,10.263018608093262
47,94.3025,12.0,92.825,0.0,10.271324157714844
48,93.55,7.0,99.075,0.0,10.279655456542969
49,93.1675,14.0,97.725,0.0,10.288893699645996
50,94.9925,8.0,98.15,0.0,10.289382934570312
51,94.3825,10.0,97.8,0.0,10.293611526489258
52,94.3825,10.0,97.8,0.0,10.297533988952637
53,94.3425,14.0,98.075,0.0,10.297533988952637
54,95.195,16.0,97.75,2.844404935836792,10.303699493408203
55,92.2425,17.0,95.925,0.0,10.310613632202148
56,95.205,9.0,94.225,0.0,10.320878982543945
57,94.0725,17.0,92.75,0.0,10.323092460632324
58,95.03,17.0,95.875,2.365354537963867,10.325464248657227
59,94.9275,18.0,98.95,0.0,10.329416275024414
60,94.5475,23.0,98.15,2.1858208179473877,10.332052230834961
61,92.525,11.0,97.5,2.189645290374756,10.337403297424316
62,94.44,16.0,98.5,0.0,10.347043991088867
63,94.6825,20.0,98.4,2.820906400680542,10.354601860046387
64,95.3,23.0,97.35,0.0,10.35784912109375
65,95.455,14.0,96.975,2.5652012825012207,10.363698959350586
66,95.2075,13.0,96.55,0.0,10.368792533874512
67,94.4275,29.0,98.875,0.0,10.370513916015625
68,94.78,17.0,99.05,0.0,10.375492095947266
69,95.41,17.0,98.7,0.0,10.383992195129395
70,94.7825,10.0,96.25,0.0,10.387868881225586
71,95.4225,11.0,95.95,2.7245712280273438,10.389979362487793
72,95.8275,14.0,96.575,2.378298044204712,10.394638061523438
73,95.8925,12.0,94.55,0.0,10.40002155303955
74,95.545,12.0,94.7,2.6848177909851074,10.405173301696777
75,95.535,13.0,95.075,0.0,10.408346176147461
