fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
0,88.0,11.0,0.0,0.0,0.0
1,86.94,12.0,84.375,0.0,9.961053848266602
2,88.6225,6.0,89.55,0.0,9.975715637207031
3,90.6575,6.0,90.875,0.0,9.98215389251709
4,90.585,6.0,92.55,0.0,9.990348815917969
5,88.8475,12.0,87.875,0.0,9.998369216918945
6,90.0875,14.0,90.6,0.0,10.016944885253906
7,90.02,7.0,91.9,0.0,10.02046012878418
8,90.71,14.0,91.475,0.0,10.036338806152344
9,88.3275,11.0,92.675,0.0,10.034974098205566
10,87.88,13.0,87.1,0.0,10.039838790893555
11,88.985,13.0,85.525,0.0,10.042828559875488
12,90.3975,14.0,97.35,0.0,10.042027473449707
13,90.5375,16.0,97.4,0.0,10.054178237915039
14,90.69,14.0,95.675,0.0,10.05872631072998
15,91.33,14.0,95.475,0.0,10.063720703125
16,91.54,13.0,94.925,0.0,10.06831169128418
17,91.28,11.0,93.1,0.0,10.070364952087402
18,88.835,21.0,95.625,0.0,10.075417518615723
19,89.41,10.0,97.75,0.0,10.085847854614258
20,90.4175,10.0,97.55,0.0,10.096734046936035
21,89.805,9.0,98.55,2.7488858699798584,10.096912384033203
22,90.8325,11.0,98.0,2.8100454807281494,10.0983304977417
23,90.6025,10.0,97.2,0.0,10.106940269470215
24,91.3,10.0,97.25,0.0,10.112187385559082
25,90.885,12.0,97.125,0.0,10.116931915283203
26,90.455,13.0,96.975,0.0,10.119170188903809
27,88.135,22.0,95.175,0.0,10.123739242553711
28,80.48,15.0,93.825,2.58151912689209,10.126007080078125
29,89.47,14.0,95.925,0.0,10.141284942626953
30,90.0,19.0,95.275,0.0,10.15200424194336
31,89.055,18.0,94.95,0.0,10.154187202453613
32,91.3825,15.0,95.2,2.561966896057129,10.167143821716309
33,91.27,16.0,88.025,0.0,10.167044639587402
34,91.675,17.0,94.625,0.0,10.178020477294922
35,92.015,19.0,95.0,0.0,10.178999900817871
36,91.925,20.0,95.65,0.0,10.19056510925293
37,92.185,14.0,95.125,0.0,10.193375587463379
38,90.1675,20.0,98.55,0.0,10.195791244506836
39,92.1675,14.0,98.475,0.0,10.214128494262695
40,91.88,11.0,98.325,0.0,10.215609550476074
41,88.925,39.0,98.3,0.0,10.218311309814453
42,87.395,33.0,99.2,2.5368385314941406,10.222084045410156
43,86.665,18.0,68.275,0.0,10.220157623291016
44,90.14,18.0,82.775,2.2126502990722656,10.2284517288208
45,91.2675,26.0,97.4,0.0,10.228068351745605
46,91.0125,18.0,92.325,2.2719929218292236,10.225373268127441
47,91.23,15.0,93.35,0.0,10.237456321716309
48,91.18,17.0,91.425,0.0,10.236363410949707
49,91.1225,15.0,91.4,2.219393730163574,10.238593101501465
50,90.7825,18.0,92.7,0.0,10.241312980651855
51,88.6,18.0,95.6,0.0,10.234444618225098
52,90.95,18.0,96.6,2.5325124263763428,10.244682312011719
53,88.38,18.0,81.975,0.0,10.246036529541016
54,85.6175,23.0,83.275,0.0,10.256366729736328
55,91.025,23.0,88.425,0.0,10.257025718688965
56,91.7375,23.0,93.825,0.0,10.260560989379883
57,91.7925,16.0,95.9,0.0,10.262436866760254
58,89.84,29.0,99.05,2.28963303565979,10.27641773223877
