flr,attacker_idxs,pred_idxs_1,pred_idxs_2,true_positive_1,true_positive_2,missed_idxs_1,missed_idxs_2,freq,t_score,num_dps,saved_pairwise_sim
1,"[0, 5, 8, 10, 11, 14, 16, 17, 28]","[0, 4, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 21, 26, 28]",[ 0  5  8 10 11 14 16 17 28],1.0,1.0,[],[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.9576418 ]
 [0.01374437]
 [0.02902681]
 [0.        ]
 [0.10047175]
 [0.98780318]
 [0.1636148 ]
 [0.05872549]
 [0.91186525]
 [0.12097721]
 [0.92052151]
 [0.85521543]
 [0.08332734]
 [0.06640613]
 [0.92852885]
 [0.04293931]
 [0.94590775]
 [1.        ]
 [0.03928108]
 [0.03158885]
 [0.0692323 ]
 [0.14001974]
 [0.07356201]
 [0.0693793 ]
 [0.03827259]
 [0.07577923]
 [0.1091955 ]
 [0.05028542]
 [0.99262449]
 [0.02604286]]","[199, 199, 55, 54, 55, 35, 199, 107, 86, 199, 73, 199, 199, 85, 82, 199, 122, 199, 199, 48, 51, 64, 44, 73, 73, 63, 72, 104, 75, 199, 71]","[[1.00000000e+00 0.00000000e+00 2.89201314e-02 ... 0.00000000e+00
  9.82400425e-01 0.00000000e+00]
 [2.37298347e-04 1.00000000e+00 9.75203650e-01 ... 9.65540433e-01
  2.72301621e-01 9.72203868e-01]
 [3.02676694e-02 9.75232182e-01 1.00000000e+00 ... 9.53354519e-01
  3.99869380e-01 9.56234524e-01]
 ...
 [2.29361578e-03 9.99011201e-01 9.84043283e-01 ... 1.00000000e+00
  1.47472347e-01 9.05873937e-01]
 [9.55327826e-01 3.76325778e-02 0.00000000e+00 ... 1.10841305e-01
  1.00000000e+00 1.36083787e-01]
 [2.74710881e-01 7.09863192e-01 5.57881692e-01 ... 9.25375001e-01
  3.43287533e-01 1.00000000e+00]]"
2,"[6, 7, 8, 9, 12, 19, 25]","[0, 3, 4, 6, 7, 8, 9, 12, 13, 16, 17, 19, 20, 25, 29]",[ 6  7  8  9 12 19 25],1.0,1.0,[],[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.18899558]
 [0.04283714]
 [0.        ]
 [0.24915782]
 [0.19546358]
 [0.13363475]
 [0.85875287]
 [0.97601414]
 [0.96872122]
 [0.97379746]
 [0.14093182]
 [0.11683715]
 [0.91549439]
 [0.17992338]
 [0.05659677]
 [0.04341949]
 [0.33802419]
 [0.16404249]
 [0.13972336]
 [1.        ]
 [0.26191602]
 [0.08781747]
 [0.11912781]
 [0.05879811]
 [0.06076539]
 [0.95485274]
 [0.13886467]
 [0.01896495]
 [0.04604581]
 [0.27864576]]","[199, 113, 57, 24, 87, 122, 108, 199, 199, 199, 199, 66, 73, 199, 82, 61, 44, 102, 86, 75, 199, 187, 30, 75, 80, 57, 199, 118, 13, 56, 86]","[[1.         0.96806947 0.9142392  ... 0.89661941 0.87363412 0.62338136]
 [0.96799484 1.         0.98656707 ... 0.9896554  0.9804546  0.79243686]
 [0.91529307 0.98676304 1.         ... 0.99275801 0.98800671 0.77679622]
 ...
 [0.94019608 0.99550386 0.99764384 ... 1.         0.99322438 0.81770358]
 [0.90388594 0.98183732 0.99959929 ... 0.99322193 1.         0.77547472]
 [0.74371585 0.57531285 0.4523409  ... 0.82771206 0.78787823 1.        ]]"
3,"[6, 10, 14, 16, 23]","[1, 6, 7, 8, 9, 10, 14, 16, 20, 21, 22, 23, 24, 25, 27]",[ 6 10 14 16 23],1.0,1.0,[],[],"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.04670986]
 [0.19316738]
 [0.04254659]
 [0.05904451]
 [0.11174869]
 [0.02063787]
 [0.99324743]
 [0.11669381]
 [0.14637823]
 [0.16409527]
 [1.        ]
 [0.08945317]
 [0.00123956]
 [0.00526355]
 [0.87572588]
 [0.07297643]
 [0.93361362]
 [0.        ]
 [0.07928518]
 [0.02742414]
 [0.18473701]
 [0.11758962]
 [0.15632544]
 [0.97756383]
 [0.17265609]
 [0.23393751]
 [0.08388087]
 [0.18918758]
 [0.06553355]
 [0.11416766]]","[199, 56, 74, 53, 48, 78, 22, 199, 66, 93, 74, 199, 78, 30, 28, 199, 74, 199, 30, 78, 47, 115, 71, 76, 199, 103, 106, 74, 80, 62, 72]","[[1.         0.34861729 0.87825919 ... 0.89328451 0.96837393 0.97940307]
 [0.37991575 1.         0.72867282 ... 0.8637988  0.92968387 0.87044736]
 [0.87799654 0.71436286 1.         ... 0.96332435 0.97075549 0.96211678]
 ...
 [0.88321812 0.70679656 0.99993539 ... 1.         0.91578776 0.89068152]
 [0.91063847 0.66326201 0.99717747 ... 0.92305106 1.         0.97407882]
 [0.9782292  0.50376944 0.95717735 ... 0.91156574 0.9770515  1.        ]]"
4,"[0, 5, 8, 12, 13, 14, 15, 22, 24, 27, 29]","[0, 2, 5, 8, 10, 12, 13, 14, 15, 17, 21, 22, 24, 27, 29]",[ 0  5  8 12 13 14 15 22 24 27 29],1.0,1.0,[],[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[1.        ]
 [0.05931597]
 [0.08482048]
 [0.02062834]
 [0.06603502]
 [0.85903549]
 [0.02122437]
 [0.01961964]
 [0.88549433]
 [0.03010662]
 [0.09143581]
 [0.02081009]
 [0.91790071]
 [0.8816124 ]
 [0.93549967]
 [0.90840521]
 [0.02680785]
 [0.11045455]
 [0.        ]
 [0.0017373 ]
 [0.04905507]
 [0.08592574]
 [0.89708339]
 [0.0184364 ]
 [0.86971441]
 [0.03921663]
 [0.03364124]
 [0.95845505]
 [0.02954565]
 [0.96163325]]","[199, 199, 73, 72, 40, 80, 199, 40, 33, 199, 53, 73, 53, 199, 199, 199, 199, 65, 80, 27, 20, 74, 77, 199, 64, 199, 57, 67, 199, 83, 199]","[[1.         0.01910051 0.04055606 ... 0.95782412 0.41349617 0.97791959]
 [0.01853805 1.         0.88781957 ... 0.18662497 0.93240641 0.20145442]
 [0.03999543 0.88781829 1.         ... 0.27447718 0.92422441 0.16936981]
 ...
 [0.99973099 0.01486905 0.04727066 ... 1.         0.35955193 0.9323014 ]
 [0.04676039 0.99352166 0.83215772 ... 0.1340678  1.         0.1012474 ]
 [0.99887104 0.02938121 0.02834673 ... 0.94622032 0.47194559 1.        ]]"
5,"[8, 9, 13, 15, 21, 24, 26, 28]","[1, 8, 9, 10, 12, 13, 14, 15, 17, 19, 21, 24, 26, 28, 29]",[ 8  9 13 15 21 22 24 26 28],1.0,1.0,[],[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.01981779]
 [0.26795627]
 [0.038916  ]
 [0.07222296]
 [0.09005766]
 [0.11683996]
 [0.08292872]
 [0.01518488]
 [0.886363  ]
 [1.        ]
 [0.19510643]
 [0.        ]
 [0.1744555 ]
 [0.8485827 ]
 [0.17261545]
 [0.82584647]
 [0.02967954]
 [0.25640337]
 [0.04887398]
 [0.1995037 ]
 [0.07288551]
 [0.94846252]
 [0.14000586]
 [0.14402089]
 [0.98716667]
 [0.00855034]
 [0.9504547 ]
 [0.0763835 ]
 [0.96389308]
 [0.19031733]]","[199, 26, 99, 65, 76, 80, 77, 79, 12, 199, 199, 74, 21, 74, 199, 99, 199, 42, 114, 56, 88, 46, 199, 91, 62, 199, 24, 199, 40, 199, 104]","[[1.         0.99860077 0.99963166 ... 0.93028035 0.25136326 0.89104289]
 [0.99859308 1.         0.99966648 ... 0.91912121 0.08539934 0.91222933]
 [0.99963049 0.9996672  1.         ... 0.98787673 0.0636352  0.87756003]
 ...
 [0.99957723 0.9997141  0.99999823 ... 1.         0.05892534 0.83640073]
 [0.         0.         0.         ... 0.17430061 1.         0.24826934]
 [0.82182843 0.85045947 0.83683207 ... 0.82410339 0.07882853 1.        ]]"
6,"[1, 7, 9, 11, 13, 14, 15, 25, 28, 29]","[1, 7, 9, 10, 11, 12, 13, 14, 15, 20, 22, 24, 25, 28, 29]",[ 1  7  9 10 11 13 14 15 25 28 29],1.0,1.0,[],[],"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.10680271]
 [0.91612687]
 [0.09420511]
 [0.05518952]
 [0.01818335]
 [0.07329279]
 [0.01048633]
 [0.89111016]
 [0.05461149]
 [1.        ]
 [0.12006317]
 [0.93638523]
 [0.14969693]
 [0.97199829]
 [0.82880482]
 [0.9519681 ]
 [0.02748309]
 [0.03463415]
 [0.04208935]
 [0.05191582]
 [0.19695716]
 [0.01615535]
 [0.1320272 ]
 [0.        ]
 [0.26361581]
 [0.96704819]
 [0.04536212]
 [0.09957395]
 [0.98559497]
 [0.90976609]]","[199, 88, 199, 86, 90, 33, 75, 44, 199, 70, 199, 80, 199, 80, 199, 199, 199, 75, 42, 76, 75, 109, 33, 70, 28, 164, 199, 96, 73, 199, 199]","[[1.         0.15783911 0.98628998 ... 0.94014409 0.2144014  0.18152178]
 [0.15312759 1.         0.08210454 ... 0.12654078 0.96265453 0.93463714]
 [0.98621776 0.08240653 1.         ... 0.94489375 0.34029773 0.35538925]
 ...
 [0.98577541 0.08137649 0.99999651 ... 1.         0.245245   0.24110843]
 [0.13724379 0.99951076 0.0703388  ... 0.1345196  1.         0.94258362]
 [0.15145699 0.99999478 0.08085236 ... 0.37627162 0.95884711 1.        ]]"
7,"[0, 2, 4, 8, 9, 11, 14, 17, 19, 22, 23, 27]","[0, 2, 3, 4, 6, 8, 9, 11, 14, 15, 17, 19, 22, 23, 27]",[ 0  2  4  8 11 14 17 19 22 23 27],1.0,0.9166666666666666,[],[9],"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[1.        ]
 [0.03989705]
 [0.96551179]
 [0.10362285]
 [0.94993008]
 [0.06146882]
 [0.28521576]
 [0.02314989]
 [0.74170516]
 [0.79510395]
 [0.01658694]
 [0.96268746]
 [0.        ]
 [0.06934848]
 [0.95474913]
 [0.16075404]
 [0.0542712 ]
 [0.99783627]
 [0.00336303]
 [0.98341799]
 [0.03672826]
 [0.0654907 ]
 [0.82744358]
 [0.90188252]
 [0.02547335]
 [0.06633991]
 [0.01062247]
 [0.99087648]
 [0.05081163]
 [0.05980998]]","[199, 199, 63, 199, 107, 199, 67, 66, 83, 199, 199, 51, 199, 25, 72, 199, 37, 95, 199, 36, 199, 85, 37, 199, 199, 96, 34, 42, 199, 76, 71]","[[1.         0.04586227 0.97383783 ... 0.89972457 0.55151763 0.60844145]
 [0.05919352 1.         0.16114047 ... 0.18663212 0.95668912 0.92762656]
 [0.9737737  0.14716857 1.         ... 0.85181135 0.49494149 0.54361266]
 ...
 [0.99934975 0.05887898 0.98135082 ... 1.         0.69841076 0.71811789]
 [0.00116044 0.90487727 0.01039458 ... 0.30061944 1.         0.93863746]
 [0.08783651 0.71726668 0.02011617 ... 0.51059233 0.95405811 1.        ]]"
8,"[1, 2, 4, 10, 13, 16, 20, 22]","[1, 2, 4, 7, 10, 11, 12, 13, 15, 16, 20, 22, 25, 26, 28]",[ 1  2  4 10 13 16 20 22],1.0,1.0,[],[],"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.06031507]
 [0.962088  ]
 [0.97243157]
 [0.06398134]
 [1.        ]
 [0.        ]
 [0.04741547]
 [0.13860949]
 [0.04857555]
 [0.03481388]
 [0.91573602]
 [0.16735013]
 [0.09780764]
 [0.96234309]
 [0.04847705]
 [0.16033598]
 [0.84817745]
 [0.06753695]
 [0.04833347]
 [0.07873172]
 [0.94443135]
 [0.0400734 ]
 [0.85344553]
 [0.03543789]
 [0.05165341]
 [0.08387808]
 [0.23052889]
 [0.06390502]
 [0.09299254]
 [0.04903579]]","[199, 78, 199, 199, 70, 199, 28, 68, 100, 82, 49, 199, 81, 62, 199, 44, 71, 199, 38, 75, 90, 199, 76, 199, 43, 74, 38, 86, 45, 76, 67]","[[1.00000000e+00 1.06930012e-02 7.44212134e-02 ... 8.90388231e-01
  9.31608201e-01 9.10694534e-01]
 [9.89149169e-03 1.00000000e+00 9.70395424e-01 ... 2.12894233e-01
  2.30146372e-01 1.97731390e-01]
 [7.38230387e-02 9.70400272e-01 1.00000000e+00 ... 0.00000000e+00
  1.02489921e-01 3.16617956e-02]
 ...
 [8.82985948e-01 5.89076220e-02 5.02580582e-03 ... 1.00000000e+00
  8.82211014e-01 9.68528482e-01]
 [9.92243496e-01 3.63429594e-02 1.27107355e-01 ... 8.91308011e-01
  1.00000000e+00 9.46443709e-01]
 [9.84765312e-01 3.65477676e-04 2.30227841e-02 ... 9.69818670e-01
  9.44340626e-01 1.00000000e+00]]"
9,"[6, 13, 14, 15, 17, 19, 22, 24, 25]","[4, 5, 6, 8, 10, 13, 14, 15, 17, 19, 20, 22, 24, 25, 27]",[ 6 13 14 15 17 19 22 24 25],1.0,1.0,[],[],"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.03094633]
 [0.01074856]
 [0.06082487]
 [0.02256004]
 [0.11106063]
 [0.08805162]
 [0.87060694]
 [0.05475893]
 [0.12075982]
 [0.01007241]
 [0.11865986]
 [0.00938493]
 [0.08554444]
 [0.94781761]
 [0.9007174 ]
 [0.97215683]
 [0.08209283]
 [1.        ]
 [0.        ]
 [0.88491512]
 [0.26025093]
 [0.02263937]
 [0.94896809]
 [0.02467456]
 [0.94179607]
 [0.97552813]
 [0.04544793]
 [0.1857877 ]
 [0.02421024]
 [0.02956484]]","[199, 92, 74, 37, 45, 81, 76, 199, 70, 91, 49, 71, 60, 66, 199, 199, 199, 82, 199, 54, 199, 131, 63, 199, 41, 199, 199, 75, 72, 78, 89]","[[1.         0.99086638 0.96966336 ... 0.77843684 0.97727305 0.90968067]
 [0.99086841 1.         0.99378286 ... 0.82603367 0.96404248 0.96838849]
 [0.96993004 0.99383611 1.         ... 0.74711897 0.95503019 0.94253154]
 ...
 [0.80936211 0.72892152 0.65354476 ... 1.         0.81448129 0.85140429]
 [0.9822083  0.99855037 0.99834581 ... 0.83193409 1.         0.96056562]
 [0.95753474 0.98753826 0.99888371 ... 0.87821238 0.96432368 1.        ]]"
10,"[3, 11, 18, 20, 21, 25]","[1, 2, 3, 7, 8, 10, 11, 14, 18, 20, 21, 24, 25, 26, 27]",[ 3 11 18 20 21 25],1.0,1.0,[],[],"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]","[[0.        ]
 [0.16360783]
 [0.13746516]
 [1.        ]
 [0.06999875]
 [0.09567342]
 [0.03925457]
 [0.10000806]
 [0.13590308]
 [0.03573647]
 [0.11138893]
 [0.90764217]
 [0.02143319]
 [0.05873393]
 [0.1252379 ]
 [0.04582399]
 [0.09223929]
 [0.02750698]
 [0.98032169]
 [0.0447265 ]
 [0.95810226]
 [0.89141436]
 [0.07128503]
 [0.02111884]
 [0.1686862 ]
 [0.92756165]
 [0.14642192]
 [0.17670041]
 [0.03123474]
 [0.01628372]]","[199, 14, 117, 74, 199, 77, 71, 50, 90, 114, 45, 97, 199, 56, 82, 90, 42, 86, 65, 199, 38, 199, 199, 71, 56, 76, 199, 84, 122, 59, 21]","[[1.         0.98547378 0.96859394 ... 0.92240229 0.97540489 0.9874403 ]
 [0.98543633 1.         0.99671586 ... 0.95181272 0.86006209 0.84497394]
 [0.96851365 0.99671593 1.         ... 0.96576299 0.9624759  0.96094416]
 ...
 [0.9027898  0.96213792 0.9809417  ... 1.         0.8910862  0.8840544 ]
 [0.98874913 0.94937134 0.92133175 ... 0.90688336 1.         0.96758714]
 [0.99202679 0.95649748 0.93015656 ... 0.88888087 0.96366647 1.        ]]"
