round,has_attacker,trusted_krum_s,adv_krum_s_avg,ben_krum_s_avg,adv_krum_s,ben_krum_s
1,True,6.864961982274373,16.38370900339878,8.184558667679163,[17.42328877 10.00166664 19.60900527 18.50087532],[6.86496198 8.91914826 9.11170578 7.3392787  8.72002877 8.15222852]
2,True,4.692476898953441,11.645671881885457,7.077115309965381,[ 5.5979538   7.63477097  6.43452482 18.52192292 20.0391869 ],[ 4.6924769  10.17430543  6.478216    9.06114206  4.97943616]
3,True,4.866776138769542,7.444445933283571,10.298397884803434,[8.99067017 7.97886146 7.28848573 5.51976638],[ 6.28437481  4.86677614  6.30618241 19.70152982  5.11488531 19.51663882]
4,True,4.131937585415141,10.896034766562948,6.8445803459962145,[ 5.81336192 10.60345584 19.43508861  7.7322327 ],[4.13193759 8.64074905 7.50168733 6.86117384 6.65418798 7.27774629]
5,True,4.815788867572061,14.908274478341188,6.967343320353847,[ 9.46456568  6.94189733 20.99573129 22.23090361],[5.07881396 8.70809636 6.67232312 8.44514785 4.81578887 8.08388977]
6,True,6.734213050110334,16.908249414934307,8.170044656392156,[17.55785834  7.22788611 21.40778219 21.43947102],[ 7.92862028  6.73421305  7.17999572  6.92609549 12.64104618  7.61029722]
7,True,14.970138585190966,18.548384428056675,25.615160308252033,[18.94443766 17.99499424 18.70572139],"[30.88312838 16.59179011 14.97013859 30.16528204 29.813789   29.39045626
 27.49153778]"
8,True,4.89269415159907,9.017257122253202,10.181528075996447,[ 8.04797738  5.46518584 13.80665275  8.74921252],[30.32781257  7.17990625  5.83786143  6.33943264  6.51146141  4.89269415]
9,True,5.324331887305071,8.330981384440108,12.660560409267836,[6.14262502 9.97190965 8.87840948],"[ 8.77482867  6.23139806  7.04431002  6.23126804 25.88258968 29.13519651
  5.32433189]"
10,True,7.396690703016578,11.883522089414447,16.589160401867808,[11.70685884 11.03579279 12.90791464],"[ 9.08305787 24.37770226 27.7906061   7.3966907  10.76963397  8.70440734
 28.00202457]"
11,True,4.719484264493279,8.376576897047896,9.7844700519053,[11.15149282  7.65818121  6.32005666],"[ 5.27826825  4.95705678  8.34193341  9.20515913 26.25468663  4.71948426
  9.73470191]"
12,True,8.432750010652935,25.87761962259069,10.77474573702656,[27.11556327 26.00054334 24.51675226],"[ 9.49159467  8.43275001  9.16568728  9.30664619 15.55704069 11.17054253
 12.29895879]"
13,False,3.881262874242111,11.603094838523518,6.377141624477173,[ 9.61043875 13.59575093],"[5.94372925 7.57603076 7.42702164 5.87236819 5.60856513 9.10313141
 3.88126287 5.60502373]"
14,True,5.754155295176396,16.356241290615912,8.13825336513571,[ 8.8267294  10.18341573 30.05857874],"[9.35075973 8.47180406 9.87853041 7.8981859  5.7541553  7.00352633
 8.61081183]"
15,True,6.755199040375512,9.110999343326304,15.812444598144378,[ 7.9608564  10.0935358   9.0401336   7.77135166 10.68911927],[ 7.89367741  6.75519904 27.00249392  9.28039549 28.13045713]
16,True,15.484809133549831,30.210626892921553,18.911637426866424,[33.9192849  33.7186646  31.94895546 30.98856329 20.51488262 30.17341048],[19.23390533 21.58349284 19.3443424  15.48480913]
17,True,5.338458173223767,22.781745150299006,8.21225355498764,[ 8.87669388 33.07950499 26.38903658],"[ 8.19459503  5.78789391  7.48129039  9.08270404 13.23713297  8.36370038
  5.33845817]"
18,True,12.176522537063416,34.994651568715206,12.74400297684465,[30.22045489 50.6620762  32.49543691 26.60063827],[13.85104219 12.17652254 12.62228981 12.21137986 12.23259258 13.37019087]
19,False,5.471161970449981,11.935845409856016,9.719908862811488,[10.5784111  14.37073199 10.85839314],"[11.9924002   5.47116197 15.45372524  6.31600001  7.31190181 12.47642311
  9.0177497 ]"
20,True,10.279181456251042,26.359619179158496,11.625076572311071,[30.58847838 30.05890716 12.55969198 32.2313992 ],[10.54321187 10.27918146 12.75644721 10.65559537 11.8946608  13.62136274]
