fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,80.87,41.326530612244895,85.4,0.0,37.29023742675781
2,78.15,87.24489795918367,89.9,0.0,37.32536315917969
3,79.0,75.0,83.0,0.0,37.3564453125
4,79.15,75.51020408163265,78.7,0.0,37.369380950927734
5,80.15,63.775510204081634,91.2,0.0,37.38299560546875
6,79.61,80.10204081632654,89.8,0.0,37.38861083984375
7,79.81,75.0,80.2,0.0,37.3969841003418
8,78.99,90.3061224489796,86.7,1.2561134099960327,37.40529251098633
9,78.19,70.40816326530613,81.4,0.0,37.410221099853516
10,76.84,67.34693877551021,79.3,0.0,37.41291809082031
11,79.42,89.79591836734694,92.2,0.0,37.41402053833008
12,78.57,75.51020408163265,72.8,0.0,37.41782760620117
13,76.27,83.6734693877551,72.0,0.0,37.4189338684082
14,80.48,90.3061224489796,82.3,0.0,37.42243194580078
15,79.62,88.26530612244898,84.4,0.0,37.4229850769043
16,80.39,86.73469387755102,82.4,0.0,37.42129135131836
17,78.07,96.93877551020408,86.1,0.0,37.418495178222656
18,79.4,77.04081632653062,80.5,0.0,37.415992736816406
19,78.22,97.95918367346938,92.4,0.0,37.41301727294922
20,80.23,87.24489795918367,83.3,0.0,37.4090690612793
21,80.18,85.20408163265306,82.2,0.0,37.403324127197266
22,79.63,90.3061224489796,74.1,0.0,37.40044021606445
23,79.9,79.08163265306122,70.5,0.0,37.39496994018555
24,80.58,90.3061224489796,84.4,0.0,37.39163589477539
25,78.86,92.34693877551021,91.5,0.0,37.389198303222656
26,80.74,76.53061224489795,85.5,0.0,37.386207580566406
27,79.77,86.22448979591837,88.1,0.0,37.38310623168945
28,80.54,93.36734693877551,87.1,0.8160828948020935,37.38432312011719
29,80.08,88.26530612244898,86.6,0.0,37.376888275146484
30,79.94,91.3265306122449,86.2,0.0,37.37308120727539
31,80.57,94.38775510204081,92.6,0.0,37.37255859375
32,80.47,78.57142857142857,82.4,0.517352819442749,37.36503982543945
33,80.16,93.87755102040816,86.5,0.0,37.35593032836914
34,78.56,86.73469387755102,92.1,0.0,37.35045623779297
35,81.63,83.6734693877551,86.9,0.0,37.350677490234375
36,80.48,88.26530612244898,85.3,0.0,37.3487434387207
37,78.77,96.42857142857143,93.6,0.7697139978408813,37.34260559082031
38,80.62,94.38775510204081,91.2,0.0,37.34000015258789
39,80.76,92.85714285714286,84.5,0.0,37.333126068115234
40,81.02,90.81632653061224,90.3,0.1410345584154129,37.32246780395508
41,78.19,94.38775510204081,95.1,0.0,37.31315231323242
42,80.98,84.6938775510204,86.9,0.0,37.31148910522461
43,80.74,87.75510204081633,86.3,0.0,37.308658599853516
44,79.73,94.38775510204081,92.5,0.0,37.30371856689453
45,80.11,93.36734693877551,94.6,0.0,37.29652786254883
46,80.69,95.40816326530613,91.2,0.0,37.28987503051758
47,80.07,83.16326530612245,85.0,0.0,37.281497955322266
48,80.06,89.79591836734694,81.1,0.5498392581939697,37.27488708496094
49,81.11,92.85714285714286,85.6,0.9849761128425598,37.26868438720703
50,79.98,86.22448979591837,85.6,0.0,37.263282775878906
51,76.71,76.0204081632653,79.8,0.0,37.256832122802734
52,80.89,84.18367346938776,87.1,0.7018228769302368,37.25527572631836
53,80.87,82.14285714285714,87.3,0.0,37.252952575683594
54,81.76,89.28571428571429,87.1,0.604254961013794,37.250030517578125
55,81.07,92.34693877551021,91.8,0.0,37.23967742919922
56,79.68,86.22448979591837,92.2,0.0,37.22948455810547
57,81.25,88.77551020408163,92.0,0.0,37.223106384277344
58,81.39,85.71428571428571,90.7,0.0,37.212589263916016
59,81.82,83.16326530612245,88.7,0.345973938703537,37.20518112182617
60,80.66,72.95918367346938,85.5,0.0,37.19820785522461
61,80.99,76.0204081632653,85.4,0.0,37.194026947021484
62,80.58,90.3061224489796,90.9,0.0,37.188541412353516
63,81.75,91.83673469387755,92.8,0.0,37.185760498046875
64,81.56,75.51020408163265,82.2,0.0,37.178714752197266
65,81.19,91.3265306122449,90.5,0.0,37.16957473754883
66,81.8,79.08163265306122,85.6,0.0,37.16273498535156
67,81.04,75.0,86.9,0.0,37.16007614135742
68,81.06,86.73469387755102,87.0,0.6902475357055664,37.15741729736328
69,81.86,90.3061224489796,89.8,0.3065241575241089,37.14849090576172
70,81.91,80.10204081632654,85.0,0.0,37.141624450683594
71,75.59,75.0,86.4,0.0,37.1359748840332
72,81.48,82.14285714285714,82.9,0.0,37.13723373413086
73,81.3,95.40816326530613,91.2,0.0,37.13212966918945
74,79.51,90.81632653061224,89.0,0.0,37.12139129638672
75,82.24,91.83673469387755,87.6,0.0,37.11518096923828
76,81.41,86.73469387755102,83.1,0.0,37.10580062866211
77,81.94,82.65306122448979,85.1,0.24729278683662415,37.09560775756836
78,81.51,76.0204081632653,80.4,0.0,37.08720779418945
79,81.17,79.59183673469387,90.8,0.0,37.07502365112305
80,81.59,87.75510204081633,88.3,0.0,37.072471618652344
81,79.56,89.28571428571429,95.6,0.139739990234375,37.06228256225586
82,81.4,77.04081632653062,87.0,0.5806037187576294,37.05690383911133
83,81.03,78.06122448979592,88.7,0.0,37.052581787109375
84,81.47,89.79591836734694,89.5,0.3768210709095001,37.044708251953125
85,81.8,89.28571428571429,87.0,0.0,37.03376770019531
86,80.74,84.6938775510204,87.6,0.0,37.02439880371094
87,80.55,92.85714285714286,92.9,0.0,37.0195426940918
88,82.61,80.61224489795919,88.6,0.0,37.01255798339844
89,82.05,91.3265306122449,90.4,0.0,37.00192642211914
90,80.02,84.18367346938776,85.9,0.0,36.99212646484375
91,81.52,92.34693877551021,91.5,0.0,36.98511505126953
92,81.12,91.3265306122449,89.7,0.0,36.98128128051758
93,81.78,85.20408163265306,87.0,0.0,36.975650787353516
94,80.3,67.34693877551021,84.0,0.0,36.96376419067383
95,81.8,93.87755102040816,90.5,0.0,36.95969009399414
96,81.71,89.28571428571429,89.9,0.0,36.954010009765625
97,81.69,89.79591836734694,92.3,0.5336225628852844,36.94561004638672
98,78.36,44.89795918367347,77.2,0.0,36.936439514160156
99,81.7,92.34693877551021,87.0,0.0,36.9395637512207
100,81.4,89.79591836734694,88.2,0.0,36.938472747802734
101,81.47,83.6734693877551,87.9,0.0,36.93568420410156
102,81.4,93.87755102040816,88.8,0.1060575619339943,36.93873596191406
103,81.7,89.79591836734694,87.8,0.0,36.92706298828125
104,81.69,86.73469387755102,87.3,0.0,36.922367095947266
105,80.73,84.18367346938776,86.8,0.0,36.91524124145508
106,81.38,92.85714285714286,90.2,0.0,36.907615661621094
107,82.16,89.28571428571429,88.5,0.2818589210510254,36.89700698852539
108,81.81,87.24489795918367,86.2,0.0,36.88578796386719
109,78.12,73.9795918367347,76.8,0.0,36.878177642822266
110,80.36,81.63265306122449,77.2,0.0,36.88002014160156
111,82.26,91.3265306122449,86.9,0.0,36.874542236328125
112,82.53,90.3061224489796,86.5,0.0,36.86764144897461
113,82.5,81.12244897959184,85.9,0.0,36.85649490356445
114,81.3,90.81632653061224,84.3,0.0,36.849857330322266
115,80.83,79.59183673469387,81.0,0.0,36.84232711791992
116,81.61,93.87755102040816,88.4,0.0,36.833099365234375
117,81.73,90.3061224489796,87.7,0.0,36.823184967041016
118,79.26,81.63265306122449,87.0,0.0,36.81324005126953
119,82.01,92.34693877551021,89.6,0.48132169246673584,36.810550689697266
120,82.61,90.81632653061224,89.1,0.121837317943573,36.80201721191406
121,81.24,81.63265306122449,88.3,0.0,36.79386901855469
122,81.41,86.73469387755102,85.9,0.0,36.78669738769531
123,82.92,84.6938775510204,89.4,0.0,36.77784729003906
124,81.4,86.22448979591837,91.2,0.025880495086312294,36.771156311035156
125,78.11,70.91836734693878,81.9,0.0,36.76431655883789
126,82.46,84.6938775510204,87.1,0.6485053896903992,36.759742736816406
127,81.35,85.20408163265306,89.3,0.0,36.75247573852539
128,82.22,83.16326530612245,85.9,0.0,36.75326156616211
129,81.95,85.20408163265306,87.7,0.0,36.746150970458984
130,82.44,79.59183673469387,84.9,0.0,36.73607635498047
131,82.05,83.16326530612245,88.0,0.13041137158870697,36.7320671081543
132,81.42,91.83673469387755,93.2,0.0,36.72526931762695
133,80.14,73.46938775510205,85.9,0.0,36.71586227416992
134,73.77,85.20408163265306,83.3,0.0,36.709503173828125
135,81.64,82.65306122448979,85.9,0.0,36.706642150878906
136,80.87,70.91836734693878,81.2,0.0,36.704280853271484
137,82.01,90.81632653061224,87.8,0.0,36.69901657104492
138,82.13,91.3265306122449,89.4,0.3141483962535858,36.690879821777344
139,82.48,72.95918367346938,78.2,0.1848239004611969,36.683921813964844
140,82.42,89.79591836734694,89.6,0.0,36.67654800415039
141,83.11,81.63265306122449,88.3,0.03533763438463211,36.670806884765625
142,81.91,84.6938775510204,89.2,0.0,36.660003662109375
143,80.32,71.42857142857143,83.9,0.0,36.65675735473633
144,82.45,93.87755102040816,89.3,0.0,36.65180587768555
145,82.35,88.26530612244898,86.0,0.0,36.643192291259766
146,81.32,87.24489795918367,87.8,0.0,36.63669204711914
147,81.86,92.34693877551021,92.0,0.0,36.631526947021484
148,82.41,80.10204081632654,85.0,0.03962898626923561,36.62299346923828
149,80.84,64.28571428571429,68.1,0.0,36.61576843261719
150,82.61,90.81632653061224,84.4,0.2998017966747284,36.61105728149414
151,82.61,89.79591836734694,81.2,0.02198774181306362,36.604923248291016
152,82.62,88.77551020408163,82.5,0.0,36.59474182128906
153,81.31,84.18367346938776,83.3,0.0,36.58678436279297
154,82.42,89.79591836734694,84.1,0.08626189082860947,36.57878112792969
155,81.19,81.12244897959184,83.2,0.0,36.57091522216797
156,82.23,85.71428571428571,87.4,0.0,36.56562423706055
157,82.55,88.77551020408163,90.3,0.0,36.559181213378906
158,82.66,85.71428571428571,86.9,0.0,36.55265808105469
159,82.24,88.26530612244898,91.4,0.0,36.54650115966797
160,83.05,89.79591836734694,90.5,0.07526302337646484,36.539085388183594
161,82.94,78.06122448979592,84.3,0.0,36.5297966003418
162,82.32,74.48979591836735,83.2,0.0,36.52195739746094
163,81.69,85.20408163265306,84.4,0.0,36.516056060791016
164,82.48,87.75510204081633,88.7,0.0,36.508567810058594
165,82.74,91.3265306122449,90.2,0.0,36.4993782043457
166,81.94,78.06122448979592,83.3,0.0,36.49054718017578
167,82.54,85.71428571428571,85.6,0.0,36.48282241821289
168,82.25,72.44897959183673,78.5,0.2156057506799698,36.47742462158203
169,82.78,88.77551020408163,84.4,0.12041394412517548,36.47251510620117
170,81.61,85.71428571428571,85.7,0.0,36.464874267578125
171,82.34,86.73469387755102,90.7,0.0,36.461212158203125
172,82.66,84.6938775510204,88.8,0.060695163905620575,36.456607818603516
173,82.23,87.24489795918367,90.5,0.0,36.44694900512695
174,80.84,91.3265306122449,92.1,0.0,36.439605712890625
175,81.99,78.57142857142857,86.4,0.0,36.43319320678711
176,82.6,73.46938775510205,83.2,0.0,36.42768478393555
177,80.57,77.04081632653062,83.3,0.0,36.42122268676758
178,82.6,75.51020408163265,82.4,0.0,36.41998291015625
179,83.09,89.79591836734694,91.3,0.0,36.412906646728516
180,82.07,70.91836734693878,86.0,0.0,36.403621673583984
181,80.82,89.28571428571429,91.5,0.0,36.398277282714844
182,82.89,93.87755102040816,87.8,0.0,36.397430419921875
183,78.65,89.79591836734694,89.2,0.0,36.38808059692383
184,82.28,81.12244897959184,86.1,0.5781333446502686,36.386802673339844
185,81.74,82.14285714285714,83.3,0.0,36.38163375854492
186,82.02,91.3265306122449,87.3,0.0,36.37580108642578
187,82.9,87.24489795918367,88.8,0.0,36.36636734008789
188,81.85,84.18367346938776,87.8,0.0,36.36255645751953
189,82.93,87.24489795918367,87.2,0.35993197560310364,36.35877227783203
190,82.7,80.10204081632654,84.6,0.03022501803934574,36.35282516479492
191,83.24,88.26530612244898,89.2,0.04798430576920509,36.34619903564453
192,83.03,86.73469387755102,90.1,0.0,36.33607864379883
193,82.78,89.79591836734694,89.5,0.0,36.32767868041992
194,82.03,83.6734693877551,85.3,0.0,36.32035827636719
195,81.81,70.40816326530613,80.2,0.0,36.31502151489258
196,82.03,93.87755102040816,93.0,0.27735283970832825,36.312644958496094
197,82.98,89.28571428571429,90.3,0.0,36.306861877441406
198,82.97,81.12244897959184,88.2,0.0,36.30361557006836
199,82.28,86.22448979591837,91.5,0.0,36.29783630371094
200,82.64,85.20408163265306,87.6,0.0,36.29220199584961
201,82.92,84.6938775510204,88.4,0.04168703407049179,36.28514099121094
202,82.26,86.22448979591837,91.6,0.0,36.277626037597656
203,82.51,85.71428571428571,91.0,0.0,36.26912307739258
204,82.96,76.53061224489795,85.4,0.0,36.26334762573242
205,82.9,82.65306122448979,87.5,0.0,36.25518035888672
206,82.24,78.06122448979592,81.8,0.0,36.24913787841797
207,82.86,82.14285714285714,86.8,0.07182005047798157,36.244171142578125
208,81.29,70.91836734693878,78.6,0.041874393820762634,36.23727035522461
209,82.87,90.3061224489796,88.7,0.2614690065383911,36.2329216003418
210,81.86,77.04081632653062,87.2,0.0,36.22609329223633
211,83.06,90.81632653061224,89.4,0.13299694657325745,36.221961975097656
212,80.35,89.79591836734694,91.6,0.0,36.21105194091797
213,82.65,89.28571428571429,90.5,0.0,36.20991897583008
214,82.73,88.26530612244898,89.4,0.0,36.20463943481445
215,82.99,86.22448979591837,91.9,0.0,36.19636535644531
216,83.11,83.16326530612245,89.3,0.0,36.19071960449219
217,82.92,79.08163265306122,85.6,0.0,36.18418884277344
218,80.83,83.16326530612245,89.7,0.0,36.18001174926758
219,83.17,85.71428571428571,90.5,0.0,36.178123474121094
220,82.88,87.75510204081633,89.5,0.0,36.17546844482422
221,81.85,87.24489795918367,92.6,0.0,36.170310974121094
222,82.32,71.93877551020408,87.7,0.35265910625457764,36.1674919128418
223,83.75,79.59183673469387,87.3,0.4776016175746918,36.16255187988281
224,83.78,84.18367346938776,87.0,0.0,36.15514373779297
